Id,Start time,Completion time,Time to Complete,Email,What are your favorite genres of games?,What is your favorite Playstation game title?,What is your PSN ID,What city and state are you in?,What was your most recent game title purchase?,For how long have you been playing our Consoles?
1,4/8/2026 20:55,4/8/2026 20:58,0:03,anonymous,Adventure,The Last Of Us,N/A,N/A,N/A,N/A
2,4/8/2026 21:38,4/8/2026 21:41,0:03,anonymous,Adventure,I dont have a playstation EL but maybe GTA5,please LOL,Chicago Illinois ,Content King,never I don't have any Sons of Sony 
3,4/9/2026 9:16,4/9/2026 9:30,0:14,anonymous,Sports,WWE smack down vs Raw 2007,treynem2,"Chicago, IL",gears of war,15 years
4,4/9/2026 10:27,4/9/2026 10:29,0:02,anonymous,Adventure,Mario,PSN ID #12345,"Arlington, TX",Mario,2 years
5,4/9/2026 10:31,4/9/2026 10:32,0:01,anonymous,Fighters,Grand theft auto,ShayK,Chicago,Sims,20 years 
6,4/9/2026 10:34,4/9/2026 10:35,0:01,anonymous,Adventure,God of War,PSN ID #123123123,Chicago,Star Wars Jedi: Fallen Order,Less than 1 hour
7,4/9/2026 11:36,4/9/2026 11:36,0:00,anonymous,Fighters,CRASH,PSN ID #56698956,"Chicago, IL",CRASH,2 Years
8,4/9/2026 11:44,4/9/2026 11:44,0:00,anonymous,Adventure,The Last Of Us,N/A,Illinois,N/A,10 yrs
9,4/9/2026 13:02,4/9/2026 13:04,0:02,anonymous,Adventure,Call of Duty,N/A,"Chicago,IL",GTA5,2 years
10,4/9/2026 13:13,4/9/2026 13:13,0:00,anonymous,Adventure,Little Big Planet,Jimster776,Chicago,dragon ball sparking zero,20 years
11,4/9/2026 13:18,4/9/2026 13:19,0:01,anonymous,Sports,Fifa 24,PSN ID #11104534,"Chicago,IL",Fornite,1year
12,4/9/2026 13:29,4/9/2026 13:29,0:00,anonymous,Sports,Fifa,i dont have it ,chicago,"i dont purchase, use my friend's",3 years
13,4/9/2026 13:32,4/9/2026 13:33,0:01,anonymous,Sports,FIFA 16,sgt_-_43,"West Chicago, IL",EA FC26,10 years
14,4/9/2026 13:34,4/9/2026 13:35,0:01,anonymous,Sports,FC 26,Warbros,"Bolingbrook, IL",Spiderman 2 ,6 years
15,4/9/2026 13:37,4/9/2026 13:38,0:01,anonymous,Sports,FIFA ,PSN ID #69047,TX,Speed ,2 years
16,4/9/2026 13:39,4/9/2026 13:41,0:02,anonymous,Fighters,I don’t have one,N/A,"Dallas, Texas",I have not purchased any games,Never played
17,4/9/2026 13:41,4/9/2026 13:42,0:01,anonymous,Fighters,mortal kombat,N/A,Chicago,mortal kombat,3 months
18,4/9/2026 13:42,4/9/2026 13:43,0:01,anonymous,Sports,Taken,PSN ID #75546,"Mckinney, Texas",Fifa,4 years
19,4/9/2026 13:52,4/9/2026 13:55,0:03,anonymous,Fighters,Uncharted,I forgot,Chicago IL,Highguard,7+ years
20,4/9/2026 13:55,4/9/2026 13:56,0:01,anonymous,MMORPG,Warframe,dont have psn anymore,"Chicago, Il",Arc Raiders,20+ years
21,4/9/2026 13:58,4/9/2026 14:00,0:02,anonymous,Adventure,God of War ,Ppao_la,Chicago,Mewgenics ,10 years 
22,4/9/2026 14:19,4/9/2026 14:20,0:01,anonymous,MMORPG,i don't have one,i don't have one,"Chiiicago, Illinoi",PEAK,i don't have playstation
23,4/9/2026 16:29,4/9/2026 16:54,0:25,anonymous,Adventure,Never played before,N/A,Chicago/ IL,N/A,N/A
24,4/10/2026 12:46,4/10/2026 12:49,0:03,anonymous,Fighters,God of War,Shaqattack7,"Chicago, IL",MLB The Show 26,Less than a year
,,,,,,,,,,
,,,0:02,,9,,,,,
,,,Average time to complete,,9 People Prefer Adventure Games,Row Labels,Count of What are your favorite genres of games?,,,
,,,,,7,Adventure,9,,,
,,,,,7 People Prefer Sports Games,Fighters,6,,,
,,,,,6,MMORPG,2,,,
,,,,,6 People Prefer Fighting Games,Sports,7,,,
,,,,,2,Grand Total,24,,,
,,,,,2 People Prefer MMORPGs,,,,,
